MONTH,YEAR,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JAN,1901,49.2,NA,27.1,51.8,48.9,18.8,1.8,48.5,21.6,62.6,37.1,4.2,35.4,137.8,66.4,92.7,28.7,5.6,22.6,18.8,15.8,11.7,3.5,39.5,55.7,7,1.9,4.9,26.5,24.5,6.9,134.5,36.8,25.8,6.7,51.4
FEB,1901,87.1,NA,19.5,19.6,116.5,80.9,0.6,38.1,8.9,31.3,58.4,0,28.9,174.5,69.3,66.6,44.7,0.1,86.4,0.6,3.3,18.1,18.8,65.1,50.1,50.2,0,31.8,14.8,39.1,41.8,81.4,39.9,5.8,0,25.6
MAR,1901,29.2,NA,30.6,11.9,27.8,7.2,10.7,15.7,2.9,8.2,3.9,0.6,11.1,75,69.6,11.1,51.6,0.4,114.8,7.7,32.1,29.4,7.1,16.1,25.2,0,0.1,3,14.1,21.7,7.8,44.5,30.9,5.8,1.1,9.5
APR,1901,2.3,NA,223,1.1,5.5,28.7,52.4,10.7,0.7,1.1,64.1,1.6,0,19.2,132.2,18.4,160,35.7,263.8,36.6,48.5,206.2,67.2,51.6,2.1,12.1,0.2,32.7,29.2,36,45.2,5.9,26.1,2.8,0,0.7
MAY,1901,528.8,NA,207,65.6,18.4,68.7,81.6,6.2,5,13.6,121.7,7,5.1,89.6,105.8,33.5,174.7,19.9,37.3,30.4,26.5,124,65.5,79,25.2,38.9,3.2,109.6,195.5,74,22,60.8,7.3,2.1,6.1,5.6
JUN,1901,517.5,NA,524.9,66.3,101.6,77.7,960.9,61,15,21.8,198,60.3,13.2,32.7,53.4,70.9,824.6,746.1,459,107.7,193.1,443.3,120.5,78.2,10.4,53,9.1,106,488.4,41.8,123.6,33.6,129.7,41.2,3,23.8
JUL,1901,365.1,NA,430.6,245.9,381,113,991.2,367.5,164.8,226.5,280.8,240.2,126.4,280.5,171.7,269.4,743,1075.5,0,215.9,184.1,331.4,151.9,288.4,178.2,73.4,87.8,210,524.8,49.3,237.8,381.1,295.3,228.9,79,201.9
AUG,1901,481.1,NA,464.1,319.4,476.7,133.7,606.4,589.2,175.6,285.6,275.7,205.4,151.5,459.7,181.3,415.1,357.5,748,0,194.1,249.8,466,115.1,307.7,145,60.3,62.5,109.2,501.1,67.9,177.2,612.3,368.8,349.9,59.2,374.3
SEP,1901,332.6,NA,291.4,155.1,182.8,125.3,108,189.9,7.5,215.4,313.5,18.1,10.5,53,101.8,248,197.7,117.4,46.7,83.7,74,304.1,128.8,185.3,24.4,109,12,140.8,242.7,191.1,77.7,167.1,123.4,47.9,1,67.7
OCT,1901,388.5,NA,163.7,8.3,27.3,173.4,120.5,5.9,9.8,4.9,51.1,16.6,2,3.9,24.1,37.3,266.9,38.6,183.7,68.7,81.6,166.7,80,76.6,3.7,81.6,3.8,170.1,55.5,122.3,75.5,16.3,35.2,5.6,2.1,7.6
NOV,1901,558.2,NA,115.6,7.3,0.4,164.8,104.9,0,0,0.1,83.4,0,0,0,0,11.5,350.8,5.4,229.9,4.4,0,67.4,13.6,96.7,0,137.2,0,72.5,17.9,212.3,12.2,0,0,0,0,0
DEC,1901,33.6,NA,1.2,0.1,0,1.5,17.8,0,0.8,2.1,0,0.3,6.1,19.1,4.4,0,48.4,0.1,15,0.5,0,0,0.9,0,3.3,91.3,0.7,12.3,2.6,80.4,0,24.9,0,2.4,0.6,7.9
JAN,1902,0,NA,9.3,4.6,0.6,2,3.2,14.9,4.1,6.1,0,3.9,0,6.5,6.5,4.2,6.7,0.3,99.3,7.8,1.3,4.8,0,3.4,0,10,0.1,1.9,1.2,67.2,0,0,1.6,22.1,0,4.6
FEB,1902,159.8,NA,10.2,0.7,6.5,0,0.3,8.9,0.7,2.3,1.2,0,0.7,27,9.7,7.7,2.6,0,9.6,0,0,0.5,0,0.2,0.8,0.2,0,0.5,0.7,9.8,0,17,0.1,8.4,0,4.6
MAR,1902,12.2,NA,105.6,24.3,0.4,2.8,4.9,0,0,2.4,44.2,0,2.9,104.4,91.3,13.2,57.3,0,32.6,0.1,0.4,36.3,0.3,14.2,9.9,1.7,0,6.7,87.1,25.1,0.2,52.2,0,0,0,0.6
APR,1902,0,NA,350,17.3,13.9,23.9,10.2,3.6,1.8,2,103.8,0.6,10.2,76.2,100.5,28.5,83.9,0.4,40.4,5,7.2,297.8,22.5,101.1,10.9,11,0.5,42.6,126.1,21.9,10.7,63.7,6.5,2,0.5,4.8
MAY,1902,446.1,NA,262.1,66.3,10.3,37.6,54.6,2.7,9.9,21.4,161.6,1,15.8,61.3,70.7,59.8,134.5,7.6,179.1,9.8,0.8,215.5,34.4,56.7,29.6,36.8,1.1,97.7,271.3,84.7,7.3,52.1,4.1,5.9,4,7.2
JUN,1902,537.1,NA,620.7,118.2,37.2,72.6,698.4,28,34.6,32.5,140.9,32.8,74.6,78.8,113.3,89.9,390.9,428.2,374.2,102.6,52.4,480.1,111.3,108.3,49.9,73.6,14.4,91.7,539.2,39.3,52.4,113.1,38,35.9,49.1,54.5
JUL,1902,228.9,NA,510.8,361,403.8,144.5,1401.6,411.9,247.6,411.5,347.8,229.8,149.3,258.6,108.4,456.1,1205,943.6,413.3,210.9,120.9,392.4,83.2,437.4,125.6,41.3,92.9,210,671,55.1,146.3,444.1,270.7,401.9,27,325.9
AUG,1902,753.7,NA,536,225.5,236.6,236.1,454.2,227,116.7,155.4,264.8,299,97.1,199.3,136.9,204.9,315.8,515.1,170,114.5,85.2,312.8,78.1,349.1,94.9,148.3,160,82.1,603.8,113.8,142.8,327.5,204.7,179.4,71.3,180.6
SEP,1902,666.2,NA,441.3,358.7,198.1,204.5,708.4,236.6,145.6,257.2,230.5,281.2,59.8,113.4,62.2,306.6,491.6,613.8,214.3,169.5,273.3,318.7,146.7,202.7,67.2,181.7,123.9,138.4,799.9,98.6,190.5,220.4,150.9,194.1,41.8,143.1
OCT,1902,197.2,NA,97,28.5,4.7,262,180.4,17,14.4,13.2,32.5,2.3,9.3,23.6,15.1,17.6,358.4,74.3,384.2,60.4,61.3,102.4,118.8,33.2,9,188.5,1.5,219.1,74.4,282.2,41.7,31.9,29.6,37.9,1.8,9.6
